[Latitude],[Longitude],[Value]
0.50019,99.33334,0.000012
0.16675,99.50001,0.000013
0.33342,99.66668,0.000013
0.50007,99.50001,0.000014
0.00008,99.33334,0.000015
0.50009,99.83335,0.000015
0.50013,99.83335,0.000016
0.50019,99.83335,0.000016
0.83353,99.16667,0.000016
0.66686,99.50001,0.000017
0.3334,99.66668,0.000018
0.33342,99.50001,0.000018
0.50009,99.66668,0.000018
0.50013,99.66668,0.000018
0.66686,99.33334,0.000019
0.16667,122.00046,0.00002
0.33334,121.83379,0.00002
0.33334,122.00046,0.00002
1.00002,103.33342,0.00002
1.16669,102.66674,0.00002
3.3334,100.00002,0.00002
3.50007,100.16669,0.00002
3.50007,100.33336,0.00002
3.50007,101.00004,0.00002
3.66674,100.50003,0.00002
3.66674,100.6667,0.00002
3.66674,100.83337,0.00002
0.83341,99.16667,0.00002
3.83341,100.6667,0.00002
0.16675,99.33334,0.00002
4.33342,100.50003,0.00002
0.66676,99.83335,0.00002
4.83343,100.00002,0.00002
4.83343,100.16669,0.00002
4.83343,100.33336,0.00002
5.0001,100.00002,0.00002
5.0001,100.16669,0.00002
5.0001,100.33336,0.00002
5.16677,100.16669,0.00002
5.33344,100.16669,0.00002
5.50011,100.16669,0.00002
5.50011,100.33336,0.00002
5.66678,100.16669,0.00002
5.83345,100.33336,0.00002
6.00012,100.00002,0.00002
6.16679,100.00002,0.00002
0.66682,99.16667,0.00002
0.66674,99.16667,0.000021
0.00012,99.33334,0.000022
0.83345,99.16667,0.000023
0.00012,99.16667,0.000023
0.16679,99.33334,0.000023
0.50009,99.50001,0.000024
0.66676,99.66668,0.000025
0.83345,99.33334,0.000025
0.16679,99.16667,0.000025
0.16673,99.83335,0.000026
0.3334,99.83335,0.000026
0.83343,99.83335,0.000026
0.50013,99.16667,0.000026
0.33342,99.33334,0.000027
0.00008,99.16667,0.000028
0.66678,99.16667,0.000028
0.00012,99.50001,0.000029
0.16679,99.50001,0.000029
0.16667,108.33352,0.00003
0.16667,122.16713,0.00003
0.33334,122.16713,0.00003
0.50001,108.50019,0.00003
0.50001,108.66686,0.00003
0.50001,122.50047,0.00003
0.50001,122.66714,0.00003
1.50003,102.00006,0.00003
2.33338,100.6667,0.00003
2.50005,100.50003,0.00003
2.66672,100.33336,0.00003
3.3334,100.16669,0.00003
3.50007,100.50003,0.00003
4.50009,100.50003,0.00003
4.66676,100.50003,0.00003
4.83343,100.50003,0.00003
5.16677,100.00002,0.00003
5.33344,100.00002,0.00003
5.50011,100.00002,0.00003
5.66678,100.00002,0.00003
5.83345,100.00002,0.00003
5.83345,100.16669,0.00003
6.00012,100.16669,0.00003
0.33346,99.33334,0.00003
